cell,target,model,brier,bss,auc,n,bss_lo,bss_hi,heidke,peirce
B_teststation_trainyears,windup_12h,sager_cal,0.22281973045320574,-0.02485858396624696,0.5323801649217171,3959,,,,
B_teststation_trainyears,windup_12h,logreg,0.2487801896499344,-0.1466143521840555,0.7353538365757831,5840,,,,
B_teststation_trainyears,windup_12h,sager_faithful,0.49204344531447336,-1.2631521346390246,0.5031705474530291,3959,,,,
B_teststation_trainyears,windup_24h,climatology,0.24244743540779115,0.0,0.5317674206103647,5840,,,,
B_teststation_trainyears,windup_24h,persistence,0.4184931506849315,-0.726119106935635,0.5,5840,,,,
B_teststation_trainyears,windup_24h,zambretti_cal,0.2545833797765799,-0.049662125959157644,0.516641735386777,5820,,,,
B_teststation_trainyears,windup_24h,sager_cal,0.2532569855163883,-0.042105117985340224,0.5250662525684967,3959,,,,
B_teststation_trainyears,windup_24h,logreg,0.2835639597942635,-0.16958943829335738,0.7015153574340853,5840,,,,
B_teststation_trainyears,windup_24h,sager_faithful,0.49431674665319525,-1.034020939413825,0.5035048733432934,3959,,,,
B_teststation_trainyears,pfall_6h,climatology,0.0812691525392621,0.0,0.661488297091945,5840,,,,
B_teststation_trainyears,pfall_6h,persistence,0.1839041095890411,-1.262901775679214,0.7832564470200802,5840,,,,
B_teststation_trainyears,pfall_6h,zambretti_cal,0.09646443469361168,-0.18405750522394193,0.7178458997289716,5820,,,,
B_teststation_trainyears,pfall_6h,sager_cal,0.09926556083335213,-0.20619465870290066,0.7078596820188287,3959,,,,
B_teststation_trainyears,pfall_6h,logreg,0.7291114662993545,-7.971564776033711,0.4728829575754,5840,,,,
B_teststation_trainyears,pfall_12h,climatology,0.17406462683717341,0.0,0.5978846820094036,5840,,,,
B_teststation_trainyears,pfall_12h,persistence,0.22414383561643836,-0.2877046858355139,0.6827658170419864,5840,,,,
B_teststation_trainyears,pfall_12h,zambretti_cal,0.1862053075744524,-0.06791851270578797,0.5847715635098185,5820,,,,
B_teststation_trainyears,pfall_12h,sager_cal,0.1786191270065376,-0.025018389750686154,0.6093757500077017,3959,,,,
B_teststation_trainyears,pfall_12h,logreg,0.6206716356218042,-2.5657539782761476,0.4845470593087519,5840,,,,
B_teststation_trainyears,pfall_24h,climatology,0.23454996780424286,0.0,0.5590627301914189,5840,,,,
B_teststation_trainyears,pfall_24h,persistence,0.32465753424657534,-0.38417215438518815,0.6192735928056889,5840,,,,
B_teststation_trainyears,pfall_24h,zambretti_cal,0.2553083613489104,-0.0878235594311132,0.5167825550047224,5820,,,,
B_teststation_trainyears,pfall_24h,sager_cal,0.23396240305272203,-0.00013458182150016818,0.578381493232634,3959,,,,
B_teststation_trainyears,pfall_24h,logreg,0.5067272210277067,-1.160423323744069,0.5766217579421108,5840,,,,
B_teststation_trainyears,cond_12h,persistence,,,,5840,,,0.173095855118221,0.1935061583709538
B_teststation_trainyears,cond_12h,zambretti,,,,5839,,,0.03671259068570616,0.04395116531294673
B_teststation_trainyears,cond_12h,sager,,,,3959,,,0.12017345414310726,0.16324098993272848
B_teststation_trainyears,cond_24h,persistence,,,,5840,,,0.11850255948447087,0.13242883742012743
B_teststation_trainyears,cond_24h,zambretti,,,,5839,,,0.03499462510482688,0.04186316811685349
B_teststation_trainyears,cond_24h,sager,,,,3959,,,0.08192971231699799,0.11186449170829295
